Pathway,Step,Activity Type,Name,Hyperlink,Description,Required,Competencies,Time,Tags,Licensing,ISBN,Curator
Personal Development,"Step 1: Recognize your own health and wellbeing as an imperative, not just a “nice to have.” Wellness is required of leaders. (Curator can help by drafting the context setting piece appropriately for health and wellbeing resources.)",Watch,"Creating Health Habits - L@WW Video, What does health and wellbeing mean to me?",https://gww.bcpublicservice.gov.bc.ca/learning/latww/latww2019/live/,"Hear from PSA DM Okenge Yuma Morisho, House of Indigenous Learning Lead T'oila McIntyre and panelists who will share experience creating healthy habits.",y,,1/2 day or less,,,,2
Personal Development,"Step 1: Recognize your own health and wellbeing as an imperative, not just a “nice to have.” Wellness is required of leaders. (Curator can help by drafting the context setting piece appropriately for health and wellbeing resources.)",Watch,"Panel: ""Leading a Healthy Workplace Culture""",https://youtu.be/pMdLYfaXzEs,Watch this virtual panel session featuring leaders from across our organization and learn how they address health and well-being in the workplace.,y,,1/2 day or less,,,,2
Personal Development,"Step 1: Recognize your own health and wellbeing as an imperative, not just a “nice to have.” Wellness is required of leaders. (Curator can help by drafting the context setting piece appropriately for health and wellbeing resources.)",Watch,LifeSpeak video series (through our Healthcare provider),https://gww.gov.bc.ca/groups/health-where-you-work/lifespeak-video-library,"Online video libarary that includes a wide variety of topics within health and wellbeing in the workplace. Accessible on @Work. A single topic consists of half a dozen videos, all under ten minutes each.",n,,1 hr or less,,,,3
Personal Development,"Step 2: Analyze your strengths and supports. In this step, you'll identify the strengths and supports that promote your resiliency and ability to navigate challenge and adversity (activity – identify 2 methods you’re using regularly) and identify and articulate the supports you still need to be fully resilient. ",Read,The Resilient Leader at ASCD.org,http://www.ascd.org/publications/educational-leadership/dec11/vol69/num04/The-Resilient-Leader.aspx,"Great article on resilient leadership: the dos don'ts, and great questions to ask!",y,,10 mins or less,,,,2
Personal Development,"Step 2: Analyze your strengths and supports. In this step, you'll identify the strengths and supports that promote your resiliency and ability to navigate challenge and adversity (activity – identify 2 methods you’re using regularly) and identify and articulate the supports you still need to be fully resilient. ",Watch,Building Resilience,https://www.linkedin.com/learning/building-resilience?trk=search-result_learning_card_title&upsellOrderOrigin=default_guest_learning,"Have trouble getting by when the going gets tough? Everyone wants to perform well when the pressure's on, but a lot of us withdraw in times of stress or adversity. If you can build your resilience, you'll have an easier time facing new challenges and earn a valuable skill to offer employers.five training techniques to prepare for difficult situations, and five strategies for reflecting on them afterward. Find out where you are on the resilience scale, identify where you want to be, and learn strategies to close the gap",y,,1 hr or less,,,,2
Personal Development,"Step 2: Analyze your strengths and supports. In this step, you'll identify the strengths and supports that promote your resiliency and ability to navigate challenge and adversity (activity – identify 2 methods you’re using regularly) and identify and articulate the supports you still need to be fully resilient. ",Read,Emotional Agility by S. David,https://www.susandavid.com/new-index#about-the-book,"Emotional agility is a four-step approach that allows us to navigate life’s twists and turns with self-acceptance, clear-sightedness, and an open mind. In her more than twenty years of research, Susan David has found that no matter how intelligent, resilient, or creative people are, when they ignore how situations or interactions make them feel, they miss opportunities to gain insight, getting hooked by thoughts, emotions, and habits that prevent them from reaching their full potential. Emotionally agile people experience the same stresses and setbacks as anyone else, but they know how to adapt, aligning their actions with their values and making small changes that lead to a life of growth.",n,,1 day or less,,,,2
Personal Development,"Step 2: Analyze your strengths and supports. In this step, you'll identify the strengths and supports that promote your resiliency and ability to navigate challenge and adversity (activity – identify 2 methods you’re using regularly) and identify and articulate the supports you still need to be fully resilient. ",Read,EdX Course: Becoming a Successful Leader,https://www.edx.org/course/becoming-successful-leader-inclusive-catalystx-il2x-1,"In this course, you will learn what successful 21st-century leaders look like and how you can adopt their inclusive leadership style. Using research and best practices, as well as stories from great leaders and everyday people, you will practice empowerment, accountability, courage, and humility—key leadership skills linked to inclusive, successful teams. <p> This online course seems appropriate for new/aspiring leaders that are looking to develop inclusive leadership skills. Also relevant for Step 8 (mentorship), Step 9 (presence), and Step 10 (personal philsophy).",n,,1 day or less,,,,2
Personal Development,"Step 2: Analyze your strengths and supports. In this step, you'll identify the strengths and supports that promote your resiliency and ability to navigate challenge and adversity (activity – identify 2 methods you’re using regularly) and identify and articulate the supports you still need to be fully resilient. ",Participate,Future Skills Tracker: What's Your Public Service Profile?,https://apolitical.co/solution_article/the-future-skills-tracker/,"A quick and easy self-assessment you can use to work out what skills and competencies are strengths — and which you should focus on for development to future-proof your career. <p> Based on research into competency frameworks in different governments, this  self- assessment tool also links you to resources to explore for further development.",y,,1 hr or less,,,,3
Personal Development,Step 3: Develop humility through authentic self-awareness.,Watch, How to be more self-aware: 5 powerful ways to increase self awareness.,https://www.youtube.com/watch?v=Q7gBf8WE3i8&feature=emb_logo,5 helpful and practical tips to increase your self-awareness.,n,,10 mins or less,,,,2
Personal Development,Step 3: Develop humility through authentic self-awareness.,Read,Leadership Exploration and Development FLNRORD,https://gww.nrs.gov.bc.ca/csnr/files/csnr/media/strategic_human_resources/self_awareness_final.pdf,Short article and tips on building self-awareness as a leader.,y,"self-reflection, accountability, commitment",10 mins or less,"learn by doing, LEAD",n/a,n/a,2
